accuracy,number of trees,,max features,max leaf nodes,min sample leaf ,class weight
0.7761194,21,entropy,11,54,1,balanced
0.7761194,20,gini,8,53,1,balanced
0.7761194,23,gini,10,52,1,balanced
0.761194,20,entropy,10,46,2,balanced
0.761194,24,entropy,8,41,1,balanced
0.761194,24,entropy,8,63,1,balanced
0.761194,32,entropy,7,58,2,balanced
0.761194,32,entropy,9,57,2,balanced
0.761194,33,entropy,6,73,2,balanced
0.761194,28,gini,11,56,2,balanced
0.761194,29,gini,6,56,2,balanced
0.761194,29,gini,6,57,2,balanced
0.761194,30,gini,10,76,1,balanced
0.761194,20,entropy,6,36,2,balanced
0.761194,20,entropy,9,39,4,balanced
0.761194,20,entropy,9,74,3,balanced
0.7462687,20,entropy,7,56,2,balanced
0.7462687,21,entropy,6,41,2,balanced
0.7462687,21,entropy,11,74,2,balanced
0.7462687,22,entropy,6,43,2,balanced
0.7462687,22,entropy,7,77,1,balanced
0.7462687,23,entropy,6,45,2,balanced
0.7462687,23,entropy,6,68,2,balanced
0.7462687,23,entropy,8,59,1,balanced
0.7462687,23,entropy,9,37,1,balanced
0.7462687,23,entropy,10,42,2,balanced
0.7462687,25,entropy,7,51,2,balanced
0.7462687,25,entropy,7,75,2,balanced
0.7462687,25,entropy,7,79,1,balanced
0.7462687,25,entropy,10,55,2,balanced
0.7462687,26,entropy,6,37,1,balanced
0.7462687,26,entropy,7,53,2,balanced
0.7462687,26,entropy,7,66,1,balanced
0.7462687,26,entropy,10,61,2,balanced
0.7462687,28,entropy,6,51,1,balanced
0.7462687,28,entropy,10,44,1,balanced
0.7462687,29,entropy,6,49,2,balanced
0.7462687,29,entropy,7,51,2,balanced
0.7462687,30,entropy,6,76,2,balanced
0.7462687,31,entropy,7,76,1,balanced
0.7462687,32,entropy,6,48,2,balanced
0.7462687,32,entropy,6,76,2,balanced
0.7462687,33,entropy,6,74,2,balanced
0.7462687,33,entropy,6,77,1,balanced
0.7462687,33,entropy,10,71,1,balanced
0.7462687,21,gini,9,42,2,balanced
0.7462687,21,gini,11,36,2,balanced
0.7462687,22,gini,8,46,2,balanced
0.7462687,22,gini,8,59,2,balanced
0.7462687,22,gini,10,35,1,balanced
0.7462687,22,gini,10,55,1,balanced
0.7462687,22,gini,10,75,1,balanced
0.7462687,23,gini,10,76,2,balanced
0.7462687,24,gini,6,37,1,balanced
0.7462687,24,gini,6,42,1,balanced
0.7462687,24,gini,8,44,1,balanced
0.7462687,24,gini,8,62,2,balanced
0.7462687,24,gini,9,64,1,balanced
0.7462687,24,gini,10,52,2,balanced
0.7462687,25,gini,7,54,2,balanced
0.7462687,25,gini,7,67,2,balanced
0.7462687,26,gini,6,56,2,balanced
0.7462687,26,gini,7,35,1,balanced
0.7462687,26,gini,11,43,1,balanced
0.7462687,26,gini,11,45,2,balanced
0.7462687,27,gini,6,52,1,balanced
0.7462687,27,gini,6,54,1,balanced
0.7462687,27,gini,6,62,2,balanced
0.7462687,27,gini,8,40,2,balanced
0.7462687,27,gini,8,42,2,balanced
0.7462687,27,gini,9,41,1,balanced
0.7462687,27,gini,10,54,1,balanced
0.7462687,27,gini,11,58,1,balanced
0.7462687,29,gini,6,37,1,balanced
0.7462687,29,gini,6,43,2,balanced
0.7462687,29,gini,10,63,1,balanced
0.7462687,30,gini,8,43,2,balanced
0.7462687,30,gini,8,53,2,balanced
0.7462687,30,gini,9,36,2,balanced
0.7462687,31,gini,6,49,1,balanced
0.7462687,31,gini,11,70,1,balanced
0.7462687,33,gini,8,76,1,balanced
0.7462687,33,gini,9,39,2,balanced
0.7462687,33,gini,9,49,2,balanced
0.7462687,33,gini,11,70,1,balanced
0.7462687,20,entropy,6,56,2,balanced
0.7462687,20,entropy,7,69,4,balanced
0.7462687,20,entropy,8,46,3,balanced
0.7462687,20,entropy,8,49,4,balanced
0.7462687,20,entropy,9,67,6,balanced
0.7462687,20,entropy,10,65,5,balanced
0.7462687,21,entropy,6,40,5,balanced
0.7462687,21,entropy,6,64,2,balanced
0.7462687,21,entropy,6,72,3,balanced
0.7462687,21,entropy,6,76,5,balanced
0.7313433,20,entropy,10,41,2,balanced
0.7313433,21,entropy,7,40,2,balanced
0.7313433,21,entropy,7,41,2,balanced
0.7313433,21,entropy,7,44,1,balanced
0.7313433,21,entropy,7,57,2,balanced
0.7313433,21,entropy,7,60,2,balanced
0.7313433,21,entropy,7,67,1,balanced
0.7313433,21,entropy,7,71,2,balanced
0.7313433,21,entropy,11,37,2,balanced
0.7313433,21,entropy,11,63,2,balanced
0.7313433,22,entropy,6,39,2,balanced
0.7313433,22,entropy,6,51,1,balanced
0.7313433,22,entropy,6,72,2,balanced
0.7313433,22,entropy,7,39,2,balanced
0.7313433,22,entropy,7,63,2,balanced
0.7313433,22,entropy,8,68,2,balanced
0.7313433,22,entropy,9,67,2,balanced
0.7313433,23,entropy,6,54,2,balanced
0.7313433,23,entropy,7,46,2,balanced
0.7313433,23,entropy,7,56,2,balanced
0.7313433,23,entropy,7,66,1,balanced
0.7313433,23,entropy,8,41,2,balanced
0.7313433,23,entropy,8,49,2,balanced
0.7313433,23,entropy,8,65,1,balanced
0.7313433,23,entropy,9,44,2,balanced
0.7313433,23,entropy,10,58,1,balanced
0.7313433,23,entropy,11,39,2,balanced
0.7313433,23,entropy,11,78,1,balanced
0.7313433,24,entropy,6,37,1,balanced
0.7313433,24,entropy,6,57,2,balanced
0.7313433,24,entropy,6,62,2,balanced
0.7313433,24,entropy,7,55,1,balanced
0.7313433,24,entropy,8,60,2,balanced
0.7313433,24,entropy,9,45,1,balanced
0.7313433,24,entropy,11,68,2,balanced
0.7313433,25,entropy,6,37,1,balanced
0.7313433,25,entropy,6,44,2,balanced
0.7313433,25,entropy,7,35,2,balanced
0.7313433,25,entropy,7,39,1,balanced
0.7313433,25,entropy,7,40,2,balanced
0.7313433,25,entropy,7,41,2,balanced
0.7313433,25,entropy,7,52,2,balanced
0.7313433,25,entropy,8,70,2,balanced
0.7313433,25,entropy,8,75,2,balanced
0.7313433,25,entropy,9,65,2,balanced
0.7313433,25,entropy,11,43,2,balanced
0.7313433,25,entropy,11,54,2,balanced
0.7313433,26,entropy,6,36,2,balanced
0.7313433,26,entropy,6,64,1,balanced
0.7313433,26,entropy,7,68,2,balanced
0.7313433,26,entropy,8,35,2,balanced
0.7313433,26,entropy,8,62,2,balanced
0.7313433,26,entropy,8,63,2,balanced
0.7313433,26,entropy,8,66,2,balanced
0.7313433,26,entropy,11,38,2,balanced
0.7313433,27,entropy,6,62,2,balanced
0.7313433,27,entropy,7,65,2,balanced
0.7313433,27,entropy,8,56,1,balanced
0.7313433,27,entropy,8,58,2,balanced
0.7313433,27,entropy,9,35,1,balanced
0.7313433,27,entropy,10,44,1,balanced
0.7313433,27,entropy,10,48,1,balanced
0.7313433,27,entropy,11,56,1,balanced
0.7313433,28,entropy,6,42,1,balanced
0.7313433,28,entropy,7,49,1,balanced
0.7313433,28,entropy,8,51,2,balanced
0.7313433,28,entropy,9,61,2,balanced
0.7313433,28,entropy,11,47,2,balanced
0.7313433,29,entropy,6,40,1,balanced
0.7313433,29,entropy,6,55,2,balanced
0.7313433,29,entropy,7,45,1,balanced
0.7313433,29,entropy,10,46,2,balanced
0.7313433,29,entropy,10,58,2,balanced
0.7313433,29,entropy,11,76,2,balanced
0.7313433,30,entropy,6,35,2,balanced
0.7313433,30,entropy,6,38,1,balanced
0.7313433,30,entropy,6,40,2,balanced
0.7313433,30,entropy,6,46,2,balanced
0.7313433,30,entropy,6,53,2,balanced
0.7313433,30,entropy,6,66,2,balanced
0.7313433,30,entropy,6,77,2,balanced
0.7313433,30,entropy,6,78,1,balanced
0.7313433,30,entropy,7,46,1,balanced
0.7313433,30,entropy,7,77,2,balanced
0.7313433,30,entropy,8,38,2,balanced
0.7313433,30,entropy,8,58,2,balanced
0.7313433,30,entropy,8,60,2,balanced
0.7313433,30,entropy,9,45,1,balanced
0.7313433,30,entropy,10,44,2,balanced
0.7313433,30,entropy,10,69,2,balanced
0.7313433,30,entropy,11,70,2,balanced
0.7313433,31,entropy,6,40,2,balanced
0.7313433,31,entropy,6,41,1,balanced
0.7313433,31,entropy,6,49,2,balanced
0.7313433,31,entropy,6,56,1,balanced
0.7313433,31,entropy,6,62,1,balanced
0.7313433,31,entropy,7,44,2,balanced
0.7313433,31,entropy,7,46,2,balanced
0.7313433,31,entropy,7,68,2,balanced
0.7313433,31,entropy,8,70,2,balanced
0.7313433,31,entropy,10,42,2,balanced
0.7313433,32,entropy,7,78,1,balanced
0.7313433,32,entropy,10,50,1,balanced
0.7313433,32,entropy,11,75,1,balanced
0.7313433,33,entropy,6,52,1,balanced
0.7313433,33,entropy,6,77,2,balanced
0.7313433,33,entropy,7,53,2,balanced
0.7313433,33,entropy,8,39,2,balanced
0.7313433,33,entropy,8,67,1,balanced
0.7313433,20,gini,6,36,1,balanced
0.7313433,20,gini,6,70,2,balanced
0.7313433,20,gini,7,38,2,balanced
0.7313433,20,gini,7,57,2,balanced
0.7313433,20,gini,7,60,1,balanced
0.7313433,20,gini,7,63,1,balanced
0.7313433,20,gini,9,37,2,balanced
0.7313433,20,gini,10,46,2,balanced
0.7313433,20,gini,11,72,1,balanced
0.7313433,21,gini,6,62,2,balanced
0.7313433,21,gini,7,47,2,balanced
0.7313433,21,gini,7,57,2,balanced
0.7313433,21,gini,7,68,2,balanced
0.7313433,21,gini,8,39,1,balanced
0.7313433,21,gini,8,53,1,balanced
0.7313433,21,gini,8,70,1,balanced
0.7313433,21,gini,8,72,2,balanced
0.7313433,21,gini,9,35,1,balanced
0.7313433,21,gini,9,52,2,balanced
0.7313433,21,gini,9,70,2,balanced
0.7313433,21,gini,9,72,1,balanced
0.7313433,21,gini,10,67,1,balanced
0.7313433,21,gini,11,75,1,balanced
0.7313433,22,gini,6,75,1,balanced
0.7313433,22,gini,7,58,1,balanced
0.7313433,22,gini,7,62,2,balanced
0.7313433,22,gini,7,72,2,balanced
0.7313433,22,gini,8,36,2,balanced
0.7313433,22,gini,8,48,1,balanced
0.7313433,22,gini,9,51,2,balanced
0.7313433,22,gini,9,71,1,balanced
0.7313433,22,gini,9,72,1,balanced
0.7313433,22,gini,11,60,2,balanced
0.7313433,22,gini,11,70,1,balanced
0.7313433,23,gini,6,39,2,balanced
0.7313433,23,gini,6,40,2,balanced
0.7313433,23,gini,6,52,1,balanced
0.7313433,23,gini,6,60,1,balanced
0.7313433,23,gini,6,75,2,balanced
0.7313433,23,gini,6,79,2,balanced
0.7313433,23,gini,7,44,1,balanced
0.7313433,23,gini,7,49,1,balanced
0.7313433,23,gini,7,65,1,balanced
0.7313433,23,gini,7,67,2,balanced
0.7313433,23,gini,7,76,2,balanced
0.7313433,23,gini,8,42,2,balanced
0.7313433,23,gini,8,50,2,balanced
0.7313433,23,gini,8,58,2,balanced
0.7313433,23,gini,10,44,1,balanced
0.7313433,23,gini,10,49,2,balanced
0.7313433,23,gini,11,75,1,balanced
0.7313433,24,gini,6,43,2,balanced
0.7313433,24,gini,6,71,1,balanced
0.7313433,24,gini,6,76,1,balanced
0.7313433,24,gini,7,49,2,balanced
0.7313433,24,gini,7,58,1,balanced
0.7313433,24,gini,7,65,1,balanced
0.7313433,24,gini,7,68,1,balanced
0.7313433,24,gini,7,72,2,balanced
0.7313433,24,gini,8,56,2,balanced
0.7313433,24,gini,8,73,2,balanced
0.7313433,24,gini,9,38,2,balanced
0.7313433,24,gini,9,42,1,balanced
0.7313433,24,gini,9,55,2,balanced
0.7313433,24,gini,9,65,2,balanced
0.7313433,24,gini,10,56,2,balanced
0.7313433,24,gini,11,38,1,balanced
0.7313433,24,gini,11,54,1,balanced
0.7313433,25,gini,6,42,1,balanced
0.7313433,25,gini,6,53,1,balanced
0.7313433,25,gini,6,65,2,balanced
0.7313433,25,gini,6,68,1,balanced
0.7313433,25,gini,7,43,2,balanced
0.7313433,25,gini,7,54,1,balanced
0.7313433,25,gini,8,54,1,balanced
0.7313433,25,gini,8,72,1,balanced
0.7313433,25,gini,9,39,1,balanced
0.7313433,25,gini,9,71,1,balanced
0.7313433,25,gini,9,74,1,balanced
0.7313433,25,gini,10,40,2,balanced
0.7313433,25,gini,10,48,2,balanced
0.7313433,25,gini,10,52,2,balanced
0.7313433,25,gini,10,64,2,balanced
0.7313433,25,gini,10,79,1,balanced
0.7313433,25,gini,11,48,1,balanced
0.7313433,25,gini,11,72,1,balanced
0.7313433,26,gini,6,35,1,balanced
0.7313433,26,gini,6,36,1,balanced
0.7313433,26,gini,6,45,1,balanced
0.7313433,26,gini,7,57,2,balanced
0.7313433,26,gini,7,69,1,balanced
0.7313433,26,gini,7,73,1,balanced
0.7313433,26,gini,7,77,1,balanced
0.7313433,26,gini,8,38,1,balanced
0.7313433,26,gini,9,60,1,balanced
0.7313433,26,gini,10,38,2,balanced
0.7313433,26,gini,10,55,1,balanced
0.7313433,26,gini,10,62,2,balanced
0.7313433,26,gini,11,38,2,balanced
0.7313433,26,gini,11,53,1,balanced
0.7313433,27,gini,6,36,1,balanced
0.7313433,27,gini,6,40,1,balanced
0.7313433,27,gini,6,41,1,balanced
0.7313433,27,gini,6,67,2,balanced
0.7313433,27,gini,6,76,1,balanced
0.7313433,27,gini,7,40,1,balanced
0.7313433,27,gini,7,43,1,balanced
0.7313433,27,gini,7,49,2,balanced
0.7313433,27,gini,7,60,1,balanced
0.7313433,27,gini,7,75,1,balanced
0.7313433,27,gini,7,77,1,balanced
0.7313433,27,gini,7,77,2,balanced
0.7313433,27,gini,7,78,1,balanced
0.7313433,27,gini,7,78,2,balanced
0.7313433,27,gini,8,49,1,balanced
0.7313433,27,gini,8,71,2,balanced
0.7313433,27,gini,8,72,1,balanced
0.7313433,27,gini,9,52,2,balanced
0.7313433,27,gini,9,65,1,balanced
0.7313433,27,gini,10,73,1,balanced
0.7313433,27,gini,11,57,1,balanced
0.7313433,28,gini,6,36,2,balanced
0.7313433,28,gini,6,43,2,balanced
0.7313433,28,gini,6,57,2,balanced
0.7313433,28,gini,6,67,2,balanced
0.7313433,28,gini,7,42,2,balanced
0.7313433,28,gini,7,43,1,balanced
0.7313433,28,gini,7,51,2,balanced
0.7313433,28,gini,7,52,1,balanced
0.7313433,28,gini,7,54,2,balanced
0.7313433,28,gini,7,65,2,balanced
0.7313433,28,gini,8,51,2,balanced
0.7313433,28,gini,8,54,2,balanced
0.7313433,28,gini,9,41,1,balanced
0.7313433,28,gini,11,72,1,balanced
0.7313433,29,gini,6,38,2,balanced
0.7313433,29,gini,6,44,1,balanced
0.7313433,29,gini,6,50,1,balanced
0.7313433,29,gini,6,57,1,balanced
0.7313433,29,gini,6,78,2,balanced
0.7313433,29,gini,7,41,2,balanced
0.7313433,29,gini,7,64,2,balanced
0.7313433,29,gini,8,55,1,balanced
0.7313433,29,gini,8,59,2,balanced
0.7313433,29,gini,9,52,1,balanced
0.7313433,29,gini,9,76,1,balanced
0.7313433,30,gini,6,40,2,balanced
0.7313433,30,gini,6,52,2,balanced
0.7313433,30,gini,6,74,1,balanced
0.7313433,30,gini,7,36,2,balanced
0.7313433,30,gini,7,49,1,balanced
0.7313433,30,gini,7,54,1,balanced
0.7313433,30,gini,7,58,1,balanced
0.7313433,30,gini,7,58,2,balanced
0.7313433,30,gini,7,68,1,balanced
0.7313433,30,gini,8,56,1,balanced
0.7313433,30,gini,8,61,2,balanced
0.7313433,30,gini,8,63,1,balanced
0.7313433,30,gini,11,60,1,balanced
0.7313433,30,gini,11,63,1,balanced
0.7313433,31,gini,6,44,1,balanced
0.7313433,31,gini,6,50,2,balanced
0.7313433,31,gini,6,57,2,balanced
0.7313433,31,gini,7,63,2,balanced
0.7313433,31,gini,7,66,2,balanced
0.7313433,31,gini,7,71,2,balanced
0.7313433,31,gini,7,75,1,balanced
0.7313433,31,gini,7,76,2,balanced
0.7313433,31,gini,7,77,1,balanced
0.7313433,31,gini,8,37,1,balanced
0.7313433,31,gini,8,37,2,balanced
0.7313433,31,gini,8,39,2,balanced
0.7313433,31,gini,8,72,2,balanced
0.7313433,31,gini,8,77,1,balanced
0.7313433,31,gini,9,37,1,balanced
0.7313433,31,gini,9,41,1,balanced
0.7313433,31,gini,11,38,1,balanced
0.7313433,32,gini,6,50,2,balanced
0.7313433,32,gini,6,58,2,balanced
0.7313433,32,gini,7,48,2,balanced
0.7313433,32,gini,7,61,2,balanced
0.7313433,32,gini,7,65,1,balanced
0.7313433,32,gini,7,74,2,balanced
0.7313433,32,gini,8,39,2,balanced
0.7313433,32,gini,8,60,1,balanced
0.7313433,32,gini,9,67,1,balanced
0.7313433,32,gini,9,70,2,balanced
0.7313433,32,gini,9,72,1,balanced
0.7313433,32,gini,9,76,1,balanced
0.7313433,32,gini,10,49,1,balanced
0.7313433,32,gini,10,57,1,balanced
0.7313433,32,gini,10,59,2,balanced
0.7313433,32,gini,11,49,2,balanced
0.7313433,32,gini,11,64,2,balanced
0.7313433,33,gini,6,51,1,balanced
0.7313433,33,gini,6,56,2,balanced
0.7313433,33,gini,6,59,1,balanced
0.7313433,33,gini,6,65,2,balanced
0.7313433,33,gini,7,56,2,balanced
0.7313433,33,gini,7,64,2,balanced
0.7313433,33,gini,7,66,2,balanced
0.7313433,33,gini,7,79,2,balanced
0.7313433,33,gini,8,70,1,balanced
0.7313433,33,gini,8,70,2,balanced
0.7313433,33,gini,8,77,1,balanced
0.7313433,33,gini,8,78,2,balanced
0.7313433,33,gini,9,36,1,balanced
0.7313433,33,gini,9,47,1,balanced
0.7313433,33,gini,9,76,2,balanced
0.7313433,33,gini,10,58,1,balanced
0.7313433,33,gini,10,68,1,balanced
0.7313433,33,gini,10,77,2,balanced
0.7313433,33,gini,11,61,2,balanced
0.7313433,33,gini,11,78,2,balanced
0.7313433,20,entropy,6,43,5,balanced
0.7313433,20,entropy,6,58,2,balanced
0.7313433,20,entropy,6,70,4,balanced
0.7313433,20,entropy,6,72,3,balanced
0.7313433,20,entropy,6,73,3,balanced
0.7313433,20,entropy,7,48,2,balanced
0.7313433,20,entropy,7,55,4,balanced
0.7313433,20,entropy,7,56,6,balanced
0.7313433,20,entropy,7,59,4,balanced
0.7313433,20,entropy,7,66,4,balanced
0.7313433,20,entropy,8,61,3,balanced
0.7313433,20,entropy,8,74,2,balanced
0.7313433,20,entropy,9,42,5,balanced
0.7313433,20,entropy,9,57,4,balanced
0.7313433,20,entropy,9,63,3,balanced
0.7313433,20,entropy,9,69,4,balanced
0.7313433,20,entropy,10,44,1,balanced
0.7313433,20,entropy,10,46,2,balanced
0.7313433,20,entropy,10,55,2,balanced
0.7313433,20,entropy,10,61,6,balanced
0.7313433,20,entropy,11,51,6,balanced
0.7313433,20,entropy,11,57,3,balanced
0.7313433,20,entropy,11,67,3,balanced
0.7313433,20,entropy,11,74,6,balanced
0.7313433,21,entropy,6,40,4,balanced
0.7313433,21,entropy,6,66,5,balanced
0.7313433,21,entropy,6,67,5,balanced
0.7313433,21,entropy,6,75,2,balanced
0.7164179,20,entropy,6,36,1,balanced
0.7164179,20,entropy,6,41,1,balanced
0.7164179,20,entropy,6,44,2,balanced
0.7164179,20,entropy,6,56,2,balanced
0.7164179,20,entropy,6,58,1,balanced
0.7164179,20,entropy,6,59,2,balanced
0.7164179,20,entropy,6,64,2,balanced
0.7164179,20,entropy,6,67,2,balanced
0.7164179,20,entropy,6,68,1,balanced
0.7164179,20,entropy,6,74,2,balanced
0.7164179,20,entropy,7,35,1,balanced
0.7164179,20,entropy,7,38,2,balanced
0.7164179,20,entropy,7,41,1,balanced
0.7164179,20,entropy,7,42,1,balanced
0.7164179,20,entropy,7,60,2,balanced
0.7164179,20,entropy,8,56,2,balanced
0.7164179,20,entropy,8,74,2,balanced
0.7164179,20,entropy,8,76,2,balanced
0.7164179,20,entropy,9,49,2,balanced
0.7164179,20,entropy,9,51,2,balanced
0.7164179,20,entropy,9,58,1,balanced
0.7164179,20,entropy,9,67,1,balanced
0.7164179,20,entropy,9,75,2,balanced
0.7164179,20,entropy,10,47,2,balanced
0.7164179,20,entropy,10,48,1,balanced
0.7164179,20,entropy,10,64,1,balanced
0.7164179,20,entropy,11,41,2,balanced
0.7164179,20,entropy,11,49,2,balanced
0.7164179,20,entropy,11,68,1,balanced
0.7164179,21,entropy,6,36,1,balanced
0.7164179,21,entropy,6,47,2,balanced
0.7164179,21,entropy,6,57,2,balanced
0.7164179,21,entropy,6,60,2,balanced
0.7164179,21,entropy,6,63,2,balanced
0.7164179,21,entropy,6,70,2,balanced
0.7164179,21,entropy,6,78,1,balanced
0.7164179,21,entropy,7,37,2,balanced
0.7164179,21,entropy,7,61,2,balanced
0.7164179,21,entropy,7,76,2,balanced
0.7164179,21,entropy,8,39,2,balanced
0.7164179,21,entropy,8,41,1,balanced
0.7164179,21,entropy,8,45,1,balanced
0.7164179,21,entropy,8,46,1,balanced
0.7164179,21,entropy,8,69,2,balanced
0.7164179,21,entropy,9,79,2,balanced
0.7164179,21,entropy,10,39,1,balanced
0.7164179,21,entropy,11,46,2,balanced
0.7164179,21,entropy,11,51,2,balanced
0.7164179,21,entropy,11,65,2,balanced
0.7164179,22,entropy,6,35,1,balanced
0.7164179,22,entropy,6,42,1,balanced
0.7164179,22,entropy,6,53,2,balanced
0.7164179,22,entropy,6,55,2,balanced
0.7164179,22,entropy,6,60,2,balanced
0.7164179,22,entropy,6,65,2,balanced
0.7164179,22,entropy,6,71,2,balanced
0.7164179,22,entropy,7,41,1,balanced
0.7164179,22,entropy,7,41,2,balanced
0.7164179,22,entropy,7,48,1,balanced
0.7164179,22,entropy,7,48,2,balanced
0.7164179,22,entropy,7,60,2,balanced
0.7164179,22,entropy,8,38,2,balanced
0.7164179,22,entropy,8,42,1,balanced
0.7164179,22,entropy,8,60,2,balanced
0.7164179,22,entropy,8,74,1,balanced
0.7164179,22,entropy,9,44,2,balanced
0.7164179,22,entropy,9,51,1,balanced
0.7164179,22,entropy,9,59,2,balanced
0.7164179,22,entropy,9,74,2,balanced
0.7164179,22,entropy,10,46,2,balanced
0.7164179,22,entropy,10,56,2,balanced
0.7164179,22,entropy,10,62,1,balanced
0.7164179,22,entropy,11,55,2,balanced
0.7164179,23,entropy,6,35,1,balanced
0.7164179,23,entropy,6,35,2,balanced
0.7164179,23,entropy,6,41,2,balanced
0.7164179,23,entropy,6,44,2,balanced
0.7164179,23,entropy,6,61,2,balanced
0.7164179,23,entropy,6,63,1,balanced
0.7164179,23,entropy,6,70,2,balanced
0.7164179,23,entropy,7,39,2,balanced
0.7164179,23,entropy,7,59,1,balanced
0.7164179,23,entropy,7,59,2,balanced
0.7164179,23,entropy,7,77,1,balanced
0.7164179,23,entropy,8,55,2,balanced
0.7164179,23,entropy,8,75,2,balanced
0.7164179,23,entropy,8,77,1,balanced
0.7164179,23,entropy,9,35,2,balanced
0.7164179,23,entropy,9,40,2,balanced
0.7164179,23,entropy,9,61,1,balanced
0.7164179,23,entropy,9,61,2,balanced
0.7164179,23,entropy,9,62,2,balanced
0.7164179,23,entropy,9,65,2,balanced
0.7164179,23,entropy,9,69,2,balanced
0.7164179,23,entropy,9,74,2,balanced
0.7164179,23,entropy,9,78,2,balanced
0.7164179,23,entropy,10,72,1,balanced
0.7164179,23,entropy,10,73,1,balanced
0.7164179,23,entropy,10,75,2,balanced
0.7164179,23,entropy,11,41,1,balanced
0.7164179,23,entropy,11,75,2,balanced
0.7164179,24,entropy,6,45,1,balanced
0.7164179,24,entropy,6,49,1,balanced
0.7164179,24,entropy,6,49,2,balanced
0.7164179,24,entropy,6,50,2,balanced
0.7164179,24,entropy,6,58,1,balanced
0.7164179,24,entropy,6,67,2,balanced
0.7164179,24,entropy,6,78,2,balanced
0.7164179,24,entropy,7,39,1,balanced
0.7164179,24,entropy,7,48,2,balanced
0.7164179,24,entropy,7,51,2,balanced
0.7164179,24,entropy,7,59,2,balanced
0.7164179,24,entropy,7,61,2,balanced
0.7164179,24,entropy,7,63,2,balanced
0.7164179,24,entropy,7,69,2,balanced
0.7164179,24,entropy,8,44,2,balanced
0.7164179,24,entropy,8,51,1,balanced
0.7164179,24,entropy,8,56,1,balanced
0.7164179,24,entropy,9,36,2,balanced
0.7164179,24,entropy,9,37,1,balanced
0.7164179,24,entropy,9,60,2,balanced
0.7164179,24,entropy,9,63,1,balanced
0.7164179,24,entropy,9,79,1,balanced
0.7164179,24,entropy,10,44,2,balanced
0.7164179,24,entropy,10,48,2,balanced
0.7164179,24,entropy,10,75,2,balanced
0.7164179,24,entropy,11,37,2,balanced
0.7164179,24,entropy,11,48,2,balanced
0.7164179,24,entropy,11,62,1,balanced
0.7164179,24,entropy,11,75,2,balanced
0.7164179,25,entropy,6,41,2,balanced
0.7164179,25,entropy,6,52,2,balanced
0.7164179,25,entropy,6,57,2,balanced
0.7164179,25,entropy,6,67,1,balanced
0.7164179,25,entropy,7,38,1,balanced
0.7164179,25,entropy,7,54,2,balanced
0.7164179,25,entropy,7,60,1,balanced
0.7164179,25,entropy,7,67,1,balanced
0.7164179,25,entropy,7,74,2,balanced
0.7164179,25,entropy,9,36,1,balanced
0.7164179,25,entropy,9,42,1,balanced
0.7164179,25,entropy,9,51,2,balanced
0.7164179,25,entropy,9,73,1,balanced
0.7164179,25,entropy,10,38,1,balanced
0.7164179,25,entropy,10,44,2,balanced
0.7164179,25,entropy,10,56,1,balanced
0.7164179,25,entropy,10,57,2,balanced
0.7164179,25,entropy,10,61,2,balanced
0.7164179,25,entropy,11,40,2,balanced
0.7164179,25,entropy,11,44,2,balanced
0.7164179,26,entropy,6,44,2,balanced
0.7164179,26,entropy,6,49,2,balanced
0.7164179,26,entropy,6,56,2,balanced
0.7164179,26,entropy,6,76,2,balanced
0.7164179,26,entropy,7,41,2,balanced
0.7164179,26,entropy,7,47,2,balanced
0.7164179,26,entropy,7,52,1,balanced
0.7164179,26,entropy,7,55,2,balanced
0.7164179,26,entropy,7,58,2,balanced
0.7164179,26,entropy,7,70,2,balanced
0.7164179,26,entropy,8,57,1,balanced
0.7164179,26,entropy,8,65,2,balanced
0.7164179,26,entropy,8,78,2,balanced
0.7164179,26,entropy,8,79,1,balanced
0.7164179,26,entropy,9,42,2,balanced
0.7164179,26,entropy,9,45,2,balanced
0.7164179,26,entropy,9,66,1,balanced
0.7164179,26,entropy,9,67,2,balanced
0.7164179,26,entropy,10,58,2,balanced
0.7164179,26,entropy,10,69,2,balanced
0.7164179,26,entropy,10,74,1,balanced
0.7164179,26,entropy,10,74,2,balanced
0.7164179,26,entropy,11,48,2,balanced
0.7164179,26,entropy,11,49,1,balanced
0.7164179,26,entropy,11,55,2,balanced
0.7164179,26,entropy,11,56,2,balanced
0.7164179,26,entropy,11,65,2,balanced
0.7164179,27,entropy,6,52,1,balanced
0.7164179,27,entropy,6,52,2,balanced
0.7164179,27,entropy,6,56,2,balanced
0.7164179,27,entropy,6,57,2,balanced
0.7164179,27,entropy,6,61,2,balanced
0.7164179,27,entropy,6,73,1,balanced
0.7164179,27,entropy,6,75,1,balanced
0.7164179,27,entropy,7,42,1,balanced
0.7164179,27,entropy,7,48,1,balanced
0.7164179,27,entropy,7,61,2,balanced
0.7164179,27,entropy,7,63,1,balanced
0.7164179,27,entropy,8,41,1,balanced
0.7164179,27,entropy,8,63,2,balanced
0.7164179,27,entropy,9,39,2,balanced
0.7164179,27,entropy,9,45,2,balanced
0.7164179,27,entropy,9,48,1,balanced
0.7164179,27,entropy,9,61,2,balanced
0.7164179,27,entropy,9,66,2,balanced
0.7164179,27,entropy,10,37,1,balanced
0.7164179,27,entropy,10,62,2,balanced
0.7164179,27,entropy,10,65,2,balanced
0.7164179,27,entropy,11,63,1,balanced
0.7164179,27,entropy,11,69,2,balanced
0.7164179,27,entropy,11,73,1,balanced
