mean squared error,Mean absolute error,alpha,average,early_stopping,epsilon,eta,fit intercept ,l1 ratio,learning rate ,loss,maxed iter,n iter no change,penalty,Power t,Random State,shuffle ,tol,validation fraction,verbose,warm_start
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.0009,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.0001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,1E-05,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',500,5,'l2',0.5,0,True,0.001,0.4,False,False
73.0276171961453,6.78437663997951,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',500,5,'l2',0.5,0,True,0.001,0.4,False,False
73.7874740341939,6.82429928074711,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',500,5,'l1',0.5,0,True,0.001,0.4,False,False
73.8221364490238,6.81124564107658,0.0091,False,False,0.01,0.02,True,0.2,'adaptive','huber',1000,4,'elasticnet',0.3,500,True,0.0001,0.2,False,False
73.8740428588812,6.83093042887564,0.0001,False,False,0.009,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
74.3705678043379,7.03972078213428,0.0004,False,False,0.01,0.01,True,0.41,'invscaling','huber',800,7,'l1',0.3,0,True,0.001,0.4,False,False
74.5177123043686,6.8557311226179,0.0091,False,False,0.01,0.03,True,0.41,'adaptive','huber',1000,8,'l2',0.3,500,True,0.0001,0.2,False,False
75.123529207347,6.90261935710321,0.0004,False,False,0.01,0.001,True,0.001,'invscaling','huber',500,8,'l1',0.3,0,True,0.001,0.4,False,False
75.123529207347,6.90261935710321,0.0004,False,False,0.01,0.001,True,0.001,'invscaling','huber',500,8,'l1',0.3,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.3,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.44,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.001,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.001,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
75.304096152593,6.9231715577462,0.0004,False,False,0.01,0.0001,True,0.001,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
76.7588595600107,6.98232409752875,0.0091,False,False,0.01,0.02,True,0.41,'adaptive','huber',1000,3,'l2',0.3,500,True,0.0001,0.4,False,False
76.7588595600107,6.98232409752875,0.0091,False,False,0.01,0.02,True,0.41,'adaptive','huber',1000,3,'l2',0.3,500,True,0.0001,0.4,False,False
78.4976959226726,7.11870433545191,0.0004,False,False,0.02,0.0001,True,0.001,'constant','huber',500,8,'l2',0.5,0,True,0.001,0.4,False,False
79.8426000183126,7.15162340652348,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',500,5,'none',0.5,0,True,0.001,0.4,False,False
80.9788300992343,7.34761167218588,0.0001,False,False,0.012,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
81.5076884129149,7.23649154018059,0.0004,False,False,0.0099,0.0001,True,0.001,'constant','huber',500,8,'l2',0.5,0,True,0.001,0.4,False,False
83.3357323122099,7.31023451146757,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
83.3357323122099,7.31023451146757,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
85.7167406811568,7.41303298813652,0.0003,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
90.8727905737402,7.68813054144246,0.0001,True,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.001,0.4,False,False
91.1241267183879,7.4990256406365,0.0091,False,False,0.01,0.02,True,0.41,'adaptive','huber',1000,2,'l2',0.3,500,True,0.0001,0.4,False,False
95.1693292358243,7.83272111391261,0.0091,False,False,0.01,0.02,True,0.41,'adaptive','huber',1000,4,'elasticnet',0.3,500,True,0.0001,0.2,False,False
96.3950946625938,7.67432441327786,0.0091,False,True,0.01,0.02,True,0.41,'adaptive','huber',1000,4,'l2',0.3,500,True,0.0001,0.2,False,False
97.4403620167358,7.92504061465812,1E-05,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l1',0.5,0,True,0.001,0.4,False,False
97.9538355668285,7.94925293630595,0.0004,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l2',0.5,0,True,0.001,0.4,False,False
97.9538355668285,7.94925293630595,0.0004,False,False,0.01,0.0001,True,0.001,'constant','huber',500,8,'l2',0.5,0,True,0.001,0.4,False,False
108.233937490046,8.43328877599616,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,8,'l2',0.5,0,True,0.001,0.4,False,False
109.922224099359,8.82244751913971,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.004,0.4,False,False
109.922224099359,8.82244751913971,0.0001,False,False,0.01,0.01,True,0.15,'invscaling','huber',1000,5,'l2',0.5,0,True,0.003,0.4,False,False
110.54471355673,8.7201555508714,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,5,'l2',0.3,0,True,0.001,0.4,False,False
110.54471355673,8.7201555508714,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,5,'l2',0.2,0,True,0.001,0.4,False,False
110.54471355673,8.7201555508714,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,5,'l2',0.5,0,True,0.001,0.4,False,False
111.847249833735,8.80411773432615,0.0001,False,False,0.01,0.0001,True,0.15,'constant','huber',500,4,'l2',0.5,0,True,0.001,0.4,False,False
